Site,Location,Ashtray,Type,Direction,Easting,Northing
"South Gyle Crescent","Bus stop at 200440",Yes,"Derby Slimline",EB,318458.23,671875.09
"South Gyle Crescent","Bus stop at RBS",No,"Derby Standard",NB,318473.2,671789.62
"South Gyle Crescent","Outside the college of animal welfare",Yes,"Derby Slimline",EB,319092.25,671581.59
"South Gyle Crescent","At bus stop 200480",Yes,"Derby Slimline",WB,319091.22,671574.4
"South Gyle Crescent","Outside pulsant powering IT",Yes,"Derby Slimline",EB,319287.84,671562.71
"South Gyle Crescent","At bus stop opposite HBOS",Yes,"Derby Slimline",EB,318551.8,671634.31
"South Gyle Crescent","At bus stop opposite tescobank",Yes,"Derby Slimline",EB,319133.31,671632.63
"Bughtlin Park","Near bridge on footpath",Yes,"Derby Standard",EB,318588.83,673796.24
"South Gyle Gardens","At 81 South Gyle Gardens",No,"Half Edinburgh",WB,318953.25,672397.18
"South Gyle Road","At steps leading to Station",No,Neopolitan,WB,318982,672250.64
"Stuart Square","On path in car park","Not Applicable","Not Applicable",NB,318697.04,673821.49
"Torrance Park","On grass area opposite number 5",No,"Half Edinburgh",EB,319331.43,674095.07
"Wester Broom Place","East entrance to park",No,"Derby Standard Green",WB,319144.78,672506.66
"Ardshiel Avenue","Within Play area",No,Routemaster,EB,319485.54,674130.74
"Blackthorn Court","at grit bin at Court entrance",Yes,"Derbt Slimline",SB,318557.98,674711.84
"Broomhall Drive","On corner opposite 11",No,Neopolitan,NB,319319.64,672558.88
"Broomhall Drive","Outside shops",No,Neopolitan,SB,319402.55,672418.77
"Broomhall Drive","At bus stop outside 34",Yes,"Derby Standard",NB,319354.35,672445.12
"Broomhall Drive","At bus stop outside 84",Yes,Neopolitan,NB,319482.89,672199.6
"Broomhall Drive","At bus stop outside 105",Yes,Neopolitan,SB,319518.88,672161.05
"Broomhall Drive","At bus stop outside 57",Yes,Neopolitan,SB,319410.27,672369.93
"Clermiston Gardens","On street by play area",Yes,"Derby Slimline",NB,319825.41,674588.92
"Clermiston Gardens","Within play area",No,Routemaster,NB,319804.57,674605.22
"Clermiston Gardens","Opposite number 63",No,"Half Edinburgh",NB,319808.25,674406.8
"Craigmount Avenue North","at footpath beside no 29","Not Applicable","Derby Standard",NB,319054.2,673920.39
"Craigmount Brae","By bottle banks at Mid Yoken",No,"Derby Standard",EB,318788.11,674007.71
"Craigmount Grove North","at end of road","Not Applicable","Not Applicable",NB,318846.42,673867
"Craigmount View","Opposite lampposy CWC24 on grass area",No,"Half Edinburgh",NB,318705.59,673679.39
"Craigs Bank","At footpath bu Church",Yes,"Wybone S/l",EB,319047.05,673039.17
"Clermiston Road","o/s 21 at crossing",Yes,"Wybone S/L",NB,320101.97,673045.08
"Craigs Road","Opposite No1",Yes,"Derby Standard",EB,318871.28,673223.77
"Gogarloch Bank",,Yes,"Brox S/L",SB,318714.35,672230.08
"Forrester High School","Next to car park in school",No,Topsy,NB,319662.33,671791.69
"Bughtlin Market","Outside lloyds pharmacy",Yes,"Derby Double",EB,318621.54,673993.13
"North Bughtlinside","On path at junction",Yes,"Derby Standard Green",EB,318307.59,674138.34
"Gyle Park Gardens","End/start of footpath",No,"Half Edinburgh",SB,318473.67,672737.5
"Drum Brae Drive","Footpath to rear of hub",Yes,"Derby Slimline","Not Applicable",319735.8,674350.19
"Drum Brae South","Outside shops",No,Neopolitan,EB,319126.29,674131.58
"South Gyle Broadway","Bus stop 249507",Yes,"Derby Slimline",WB,318769.24,671945.93
"Clermiston Avenue","Opposite 70 clermiston ave (blue)",Yes,Wybone,WB,319594.09,674899.59
